accuracy,balanced_accuracy,best_cv_accuracy,best_parameters,cv_folds,dataset,feature_count,fit_seconds,macro_f1,method,min_child_samples
0.95,0.95,0.95,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,BirdChicken,595,9.757020599907264,0.949874686716792,hcrd_structure_extratrees_cv,
0.9,0.9,,,,BirdChicken,595,0.10229740000795573,0.898989898989899,hcrd_structure_lightgbm,5
0.8309037900874635,0.8371785012389985,0.8,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",5,Chinatown,595,3.735101200058125,0.8050066650984082,hcrd_structure_extratrees_cv,
0.8309037900874635,0.7875117491241562,,,,Chinatown,595,0.029944199952296913,0.7875117491241562,hcrd_structure_lightgbm,5
0.6049479166666667,0.44206963803777705,0.608144589338824,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,ChlorineConcentration,595,26.41002109996043,0.43014184322948185,hcrd_structure_extratrees_cv,
0.6010416666666667,0.4647640637424782,,,,ChlorineConcentration,595,1.6535204999381676,0.46766177267990666,hcrd_structure_lightgbm,20
0.886231884057971,0.8872943412954154,0.975,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",5,CinCECGTorso,595,7.585992399952374,0.8849078923995906,hcrd_structure_extratrees_cv,
0.9507246376811594,0.9508876672604314,,,,CinCECGTorso,595,0.270590600091964,0.95097130549844,hcrd_structure_lightgbm,5
0.724,0.724,0.8160000000000001,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,Computers,595,13.947538000065833,0.7238895558223288,hcrd_structure_extratrees_cv,
0.74,0.74,,,,Computers,595,0.290006099967286,0.7390606182256123,hcrd_structure_lightgbm,12
0.5358974358974359,0.5436842600323465,0.5641025641025641,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,CricketX,595,26.406356199993752,0.5163762439321554,hcrd_structure_extratrees_cv,
0.4948717948717949,0.5019640221955874,,,,CricketX,595,2.884356700000353,0.5001416366627203,hcrd_structure_lightgbm,19
0.5128205128205128,0.5032897093350347,0.535897435897436,"{'max_features': 0.5, 'min_samples_leaf': 4}",5,CricketZ,595,25.55728139996063,0.49406907044866877,hcrd_structure_extratrees_cv,
0.4897435897435897,0.4798607125025669,,,,CricketZ,595,2.9747977000661194,0.4749162425903313,hcrd_structure_lightgbm,19
0.7246376811594203,0.7043478260869565,0.7833333333333333,"{'max_features': 0.5, 'min_samples_leaf': 2}",5,DistalPhalanxOutlineCorrect,595,28.248167399899103,0.7079365079365079,hcrd_structure_extratrees_cv,
0.7318840579710145,0.7093167701863354,,,,DistalPhalanxOutlineCorrect,595,0.567134500015527,0.7134519333295921,hcrd_structure_lightgbm,20
0.6402877697841727,0.4123931623931624,0.7799999999999999,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",5,DistalPhalanxTW,595,18.547764800023288,0.3699233716475096,hcrd_structure_extratrees_cv,
0.6546762589928058,0.47956965062228224,,,,DistalPhalanxTW,595,1.5437630000524223,0.46072906082388815,hcrd_structure_lightgbm,20
0.92,0.4038937741498662,0.918,"{'max_features': 0.5, 'min_samples_leaf': 1}",2,ECG5000,595,13.6833459000336,0.40354054721090593,hcrd_structure_extratrees_cv,
0.9268888888888889,0.4129448460028341,,,,ECG5000,595,1.4150424000108615,0.41654005946997746,hcrd_structure_lightgbm,20
0.425414364640884,0.4272679520454827,0.6079528158295282,"{'max_features': 0.5, 'min_samples_leaf': 2}",5,EOGHorizontalSignal,595,28.474658399936743,0.40771529576569204,hcrd_structure_extratrees_cv,
0.4143646408839779,0.4149610678531703,,,,EOGHorizontalSignal,595,2.8415901999687776,0.40369618310909233,hcrd_structure_lightgbm,18
0.31,0.31077188940092165,0.48433663366336627,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,EthanolLevel,595,34.975368899991736,0.30375354967095713,hcrd_structure_extratrees_cv,
0.294,0.2944828469022017,,,,EthanolLevel,595,2.83032850001473,0.29041824296878316,hcrd_structure_lightgbm,20
0.4725274725274725,0.2909833798296647,,"{'min_samples_leaf': 2, 'max_features': 'sqrt'}",1,FiftyWords,595,1.5986057000700384,0.266626514844329,hcrd_structure_extratrees_cv,
0.5142857142857142,0.27065658565720485,,,,FiftyWords,595,10.498643700033426,0.2645868845992902,hcrd_structure_lightgbm,20
0.6742857142857143,0.6764650374256285,0.6628571428571428,"{'max_features': 0.5, 'min_samples_leaf': 2}",5,Fish,595,20.057288200012408,0.6574472932751203,hcrd_structure_extratrees_cv,
0.6514285714285715,0.6477328172648369,,,,Fish,595,1.3140585999935865,0.6372830281530533,hcrd_structure_lightgbm,8
0.7567901234567901,0.7561200909706174,0.9048418912586726,"{'max_features': 0.5, 'min_samples_leaf': 4}",5,FordB,595,234.328062399989,0.7554029176291694,hcrd_structure_extratrees_cv,
0.7469135802469136,0.7460718619100172,,,,FordB,595,2.086633599945344,0.7447250086475268,hcrd_structure_lightgbm,20
0.9870175438596491,0.9870175438596491,0.9800000000000001,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",5,FreezerRegularTrain,595,6.658116900012828,0.9870165448249326,hcrd_structure_extratrees_cv,
0.964561403508772,0.964561403508772,,,,FreezerRegularTrain,595,0.13810119999106973,0.9645611897197041,hcrd_structure_lightgbm,7
0.6964912280701754,0.6964912280701754,0.9266666666666667,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,FreezerSmallTrain,595,4.160182499908842,0.6952346832016918,hcrd_structure_extratrees_cv,
0.7154385964912281,0.715438596491228,,,,FreezerSmallTrain,595,0.054335399996489286,0.7138402237130981,hcrd_structure_lightgbm,5
0.9620253164556962,0.9617788461538461,0.962962962962963,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,GunPointAgeSpan,595,9.532361099962145,0.9619872488872849,hcrd_structure_extratrees_cv,
0.9430379746835443,0.9427884615384616,,,,GunPointAgeSpan,595,0.09351159993093461,0.9429808733309275,hcrd_structure_lightgbm,6
0.9651898734177216,0.9652610441767069,0.9777777777777779,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,GunPointMaleVersusFemale,595,8.055175799992867,0.9651112605514348,hcrd_structure_extratrees_cv,
0.9082278481012658,0.9078313253012048,,,,GunPointMaleVersusFemale,595,0.10562010004650801,0.9079614731788644,hcrd_structure_lightgbm,6
0.9714285714285714,0.9706060606060607,0.9777777777777776,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,GunPointOldVersusYoung,595,8.163045900058933,0.9713129268909688,hcrd_structure_extratrees_cv,
0.9714285714285714,0.97,,,,GunPointOldVersusYoung,595,0.08257860003504902,0.9712617461910409,hcrd_structure_lightgbm,6
0.578125,0.5232793522267206,0.641025641025641,"{'max_features': 0.5, 'min_samples_leaf': 2}",5,Herring,595,9.115534999989904,0.502160760587727,hcrd_structure_extratrees_cv,
0.484375,0.4504048582995951,,,,Herring,595,0.17581679997965693,0.44523246650906223,hcrd_structure_lightgbm,5
0.8875502008032129,0.853120947483926,0.8576923076923076,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,InsectEPGRegularTrain,595,18.57081480009947,0.8582055437083671,hcrd_structure_extratrees_cv,
0.8875502008032129,0.8373748915550476,,,,InsectEPGRegularTrain,595,0.3036231999285519,0.8451533620309991,hcrd_structure_lightgbm,5
0.782312925170068,0.7822204089033955,0.8494505494505494,"{'max_features': 'sqrt', 'min_samples_leaf': 1}",5,ItalyPowerDemand,595,8.593928899965249,0.782060785767235,hcrd_structure_extratrees_cv,
0.8532555879494655,0.8531438415159345,,,,ItalyPowerDemand,595,0.1136208000825718,0.8530107078292309,hcrd_structure_lightgbm,5
0.5616438356164384,0.5303854875283447,0.6571428571428571,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,Lightning7,595,10.396108699962497,0.49470767327910187,hcrd_structure_extratrees_cv,
0.5753424657534246,0.5675438596491228,,,,Lightning7,595,0.8320193000836298,0.5502069359212216,hcrd_structure_lightgbm,5
0.9304904051172708,0.9310032251369256,0.9814814814814814,"{'max_features': 0.5, 'min_samples_leaf': 4}",2,Mallat,595,4.051591500057839,0.9298531932535941,hcrd_structure_extratrees_cv,
0.6976545842217484,0.6993655479374853,,,,Mallat,595,0.5722289000404999,0.6704234509281688,hcrd_structure_lightgbm,5
0.7105263157894737,0.601622979458688,0.6691387559808613,"{'max_features': 0.5, 'min_samples_leaf': 2}",5,MedicalImages,595,23.425040900008753,0.6011348409279883,hcrd_structure_extratrees_cv,
0.6736842105263158,0.45543384519645763,,,,MedicalImages,595,1.856799800065346,0.48688072330065424,hcrd_structure_lightgbm,19
0.6363636363636364,0.4878103024654749,0.775,"{'max_features': 'sqrt', 'min_samples_leaf': 2}",5,MiddlePhalanxOutlineAgeGroup,595,15.628342399955727,0.5086073770284296,hcrd_structure_extratrees_cv,
0.564935064935065,0.45111412352791663,,,,MiddlePhalanxOutlineAgeGroup,595,0.8864973998861387,0.46006734006734007,hcrd_structure_lightgbm,20
0.5584415584415584,0.385171277997365,0.6315189873417721,"{'max_features': 0.5, 'min_samples_leaf': 1}",5,MiddlePhalanxTW,595,22.161951899994165,0.37446340934713024,hcrd_structure_extratrees_cv,
