dataset,assignment,train_size,length,class_count,cv_folds,raw_cv_accuracy,wavelet_cv_accuracy,raw_transform_seconds,wavelet_transform_seconds,wall_seconds,manifest_sha256
BirdChicken,discovery,20,512,2,5,0.85,0.95,0.4529418000020087,0.17751179996412247,14.46330439997837,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
Chinatown,discovery,20,24,2,5,1.0,1.0,0.027444200008176267,0.025575699983164668,0.16015060001518577,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
ChlorineConcentration,discovery,467,166,3,5,0.7257835735529627,0.7621596888583848,0.07404350000433624,0.4039992999751121,1.9803209999809042,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
CinCECGTorso,discovery,40,1639,4,5,0.825,0.85,0.15849609998986125,0.5865306999767199,1.1467855999944732,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
Computers,discovery,250,720,2,5,0.8400000000000001,0.8240000000000001,0.16189750004559755,0.5242459999863058,1.4788102000020444,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
CricketX,discovery,390,300,12,5,0.8333333333333334,0.7999999999999999,0.12972299999091774,0.41662509995512664,1.606670800014399,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
CricketZ,discovery,390,300,12,5,0.8256410256410257,0.7769230769230769,0.11437969992402941,0.3612005999311805,1.7742216000333428,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
DistalPhalanxOutlineCorrect,discovery,600,80,2,5,0.8699999999999999,0.8583333333333334,0.06342490005772561,0.14888110000174493,1.7989037000807002,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
DistalPhalanxTW,discovery,400,80,6,5,0.805,0.8074999999999999,0.04624980001244694,0.14365859993267804,1.0955429999157786,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
ECG5000,discovery,500,140,5,2,0.952,0.952,0.07655270001851022,0.2484740000218153,1.4404146000742912,e3ef3733f789c262433172566555870076e1fb59bb8be64bdcd42909fa54175e
