baseline,series,hcrd_mean_vus_pr,baseline_mean_vus_pr,mean_difference,bootstrap_95_low,bootstrap_95_high,paired_t_p,wilcoxon_p,exact_sign_p,cohen_dz,wins,ties,losses,stratum,is_frozen_primary_comparison,holm_paired_t_p,holm_wilcoxon_p,holm_exact_sign_p
Sub_PCA,71,0.3755960993667333,0.11359575592262697,0.26200034344410644,0.20161730494577837,0.3253862136281981,8.286282342964476e-12,1.0642918114312815e-10,4.6446053760977124e-10,0.9715463789076985,61,0,10,primary_sparse_transient,False,1.657256468592895e-11,2.128583622862563e-10,9.289210752195425e-10
SR,71,0.3755960993667333,0.17507927209186072,0.20051682727487272,0.15703218338410185,0.24631989326015788,6.640567088432598e-13,4.117129669189098e-12,1.3321308760808536e-13,1.0422395923205194,65,0,6,primary_sparse_transient,False,1.9921701265297793e-12,1.2351389007567296e-11,3.996392628242561e-13
POLY,71,0.3755960993667333,0.4115314333194507,-0.035935333952717335,-0.13097399276999275,0.06157193355436137,0.4720198285536862,0.305061015533975,0.008554538502693429,-0.08581771913319428,24,0,47,primary_sparse_transient,True,0.4720198285536862,0.305061015533975,0.008554538502693429
Sub_IForest,71,0.3755960993667333,0.033177516687079245,0.34241858267965414,0.28756648540428353,0.39867245987218397,1.3204190939354647e-18,6.43448817011369e-13,6.098637220230962e-20,1.4209730775005651,70,0,1,primary_sparse_transient,False,5.281676375741859e-18,2.573795268045476e-12,2.439454888092385e-19
Sub_PCA,86,0.3943325040102227,0.145075397011194,0.2492571069990287,0.19479935292548897,0.30567935910773963,1.9106004566107304e-13,7.680663959411333e-12,1.4450157667486737e-10,0.9412671042040103,72,0,14,all_WSD,False,3.821200913221461e-13,1.5361327918822666e-11,2.8900315334973474e-10
SR,86,0.3943325040102227,0.2115689366151828,0.18276356739503982,0.14351381940590627,0.22358668760816877,7.932277621590246e-14,5.405385067125308e-13,1.0494057384312134e-13,0.9616012097818192,76,0,10,all_WSD,False,2.3796832864770735e-13,1.6216155201375924e-12,3.14821721529364e-13
POLY,86,0.3943325040102227,0.43295844009228923,-0.03862593608206659,-0.12111783248322179,0.04464427216733215,0.3676534221650616,0.17293040941972326,0.0033532746580679047,-0.09766443247344266,29,0,57,all_WSD,False,0.3676534221650616,0.17293040941972326,0.0033532746580679047
Sub_IForest,86,0.3943325040102227,0.061813836603779655,0.33251866740644304,0.2825334703539194,0.3843275051265597,2.2121327808942625e-21,7.077453885669746e-15,2.7421554294015713e-21,1.371970707591776,83,0,3,all_WSD,False,8.84853112357705e-21,2.8309815542678984e-14,1.0968621717606285e-20
Sub_PCA,15,0.4830181526560722,0.29407903149707815,0.18893912115899394,0.0727512857953108,0.3052145670120097,0.008582977367202491,0.012451171875,0.11846923828124999,0.7885156380312578,11,0,4,outside_primary,False,0.025748932101607475,0.037353515625,0.35540771484374994
SR,15,0.4830181526560722,0.3842866820255743,0.09873147063049771,0.023398469960235372,0.1773437675998545,0.03003781383393437,0.041259765625,0.11846923828124999,0.6233543231322266,11,0,4,outside_primary,False,0.06007562766786874,0.08251953125,0.35540771484374994
POLY,15,0.4830181526560722,0.5343796054837252,-0.051361452827653115,-0.17940799745874952,0.0831162681492464,0.4729939039253265,0.30279541015625,0.30175781249999994,-0.19042387732569657,5,0,10,outside_primary,False,0.4729939039253265,0.30279541015625,0.35540771484374994
Sub_IForest,15,0.4830181526560722,0.19735908420949486,0.28565906844657724,0.16248311023732925,0.4081616225327616,0.0006139687658563952,0.00115966796875,0.00738525390625,1.1340600819524522,13,0,2,outside_primary,False,0.002455875063425581,0.004638671875,0.029541015625
