condition,bearing_id,feature,family,spearman_progress,n_files
35Hz12kN,Bearing1_1,h_mean,standard,0.12992222465852368,123
35Hz12kN,Bearing1_1,h_std,standard,0.9622473591208678,123
35Hz12kN,Bearing1_1,h_variance,standard,0.9622473591208678,123
35Hz12kN,Bearing1_1,h_rms,standard,0.9625182185190441,123
35Hz12kN,Bearing1_1,h_peak,standard,0.8311062671705512,123
35Hz12kN,Bearing1_1,h_peak_to_peak,standard,0.8570313809959887,123
35Hz12kN,Bearing1_1,h_crest_factor,standard,-0.5314648334214701,123
35Hz12kN,Bearing1_1,h_shape_factor,standard,0.8964930156969471,123
35Hz12kN,Bearing1_1,h_impulse_factor,standard,-0.4465955553262566,123
35Hz12kN,Bearing1_1,h_clearance_factor,standard,-0.3841689130799293,123
35Hz12kN,Bearing1_1,h_kurtosis,standard,0.09400110923372587,123
35Hz12kN,Bearing1_1,h_skewness,standard,-0.7076395248352272,123
35Hz12kN,Bearing1_1,h_line_integral,standard,0.9703537939662845,123
35Hz12kN,Bearing1_1,h_zero_crossing_rate,standard,-0.4743819800827452,123
35Hz12kN,Bearing1_1,h_entropy,standard,0.4475564612864532,123
35Hz12kN,Bearing1_1,h_percentile_5,standard,-0.96424011040745,123
35Hz12kN,Bearing1_1,h_percentile_50,standard,0.7712914834066374,123
35Hz12kN,Bearing1_1,h_percentile_95,standard,0.9628213230836697,123
35Hz12kN,Bearing1_1,v_mean,standard,0.11722407811069122,123
35Hz12kN,Bearing1_1,v_std,standard,0.9643303968735087,123
35Hz12kN,Bearing1_1,v_variance,standard,0.9643303968735087,123
35Hz12kN,Bearing1_1,v_rms,standard,0.9648979118030208,123
35Hz12kN,Bearing1_1,v_peak,standard,0.8565348054326657,123
35Hz12kN,Bearing1_1,v_peak_to_peak,standard,0.8672273026273363,123
35Hz12kN,Bearing1_1,v_crest_factor,standard,-0.3567153783647832,123
35Hz12kN,Bearing1_1,v_shape_factor,standard,-0.3941520166127098,123
35Hz12kN,Bearing1_1,v_impulse_factor,standard,-0.36312571745495353,123
35Hz12kN,Bearing1_1,v_clearance_factor,standard,-0.36490565064296865,123
35Hz12kN,Bearing1_1,v_kurtosis,standard,-0.398356786317731,123
35Hz12kN,Bearing1_1,v_skewness,standard,-0.020694947827320686,123
35Hz12kN,Bearing1_1,v_line_integral,standard,0.9845868104371156,123
35Hz12kN,Bearing1_1,v_zero_crossing_rate,standard,-0.4827786349637954,123
35Hz12kN,Bearing1_1,v_entropy,standard,0.35874037481781484,123
35Hz12kN,Bearing1_1,v_percentile_5,standard,-0.9157949723336473,123
35Hz12kN,Bearing1_1,v_percentile_50,standard,0.1654886432523765,123
35Hz12kN,Bearing1_1,v_percentile_95,standard,0.9353161961022043,123
35Hz12kN,Bearing1_1,cross_correlation,standard,0.5425442726135353,123
35Hz12kN,Bearing1_1,h_spectral_centroid,standard,0.10975609756097561,123
35Hz12kN,Bearing1_1,h_spectral_bandwidth,standard,0.7490487675897384,123
