representation,seed,condition,test_bearing,inner_validation_bearing,selected_epochs,inner_validation_huber,rmse,mae,late_rmse,r_squared,test_windows
standard,9,35Hz12kN,Bearing1_1,Bearing1_2,15,0.013450425118207932,0.20220611989498138,0.1736481785774231,0.23042985796928406,0.4380299254450908,114
standard,9,35Hz12kN,Bearing1_2,Bearing1_3,21,0.004857630003243685,0.2573217749595642,0.20792916417121887,0.10115353018045425,0.11954746909260561,152
standard,9,35Hz12kN,Bearing1_3,Bearing1_4,10,0.008325140923261642,0.24134133756160736,0.2043880969285965,0.34912294149398804,0.22394773565873993,149
standard,9,35Hz12kN,Bearing1_4,Bearing1_5,5,0.006875447928905487,0.2685091197490692,0.22688543796539307,0.40794795751571655,0.007918787715218145,113
standard,9,35Hz12kN,Bearing1_5,Bearing1_1,10,0.005491336807608604,0.2883022725582123,0.23042093217372894,0.11478982120752335,-0.40383377270680243,43
standard,9,37.5Hz11kN,Bearing2_1,Bearing2_2,4,0.010746178217232227,0.2775254547595978,0.2137942910194397,0.4428514838218689,0.04481638617430772,482
standard,9,37.5Hz11kN,Bearing2_2,Bearing2_3,16,0.004050477407872677,0.22566929459571838,0.17181293666362762,0.15714381635189056,0.32282984990053776,152
standard,9,37.5Hz11kN,Bearing2_3,Bearing2_4,7,0.0028924192301928997,0.270401269197464,0.2175465077161789,0.13675770163536072,0.09559915621768977,524
standard,9,37.5Hz11kN,Bearing2_4,Bearing2_5,7,0.004873125348240137,0.26120516657829285,0.23546195030212402,0.19784684479236603,-0.26497988322680643,33
standard,9,37.5Hz11kN,Bearing2_5,Bearing2_1,2,0.019128110259771347,0.15925225615501404,0.131235733628273,0.22469046711921692,0.680727195943119,330
standard,9,40Hz10kN,Bearing3_1,Bearing3_2,13,0.017377497628331184,0.32680678367614746,0.2723705768585205,0.48158329725265503,-0.289753497734238,2529
standard,9,40Hz10kN,Bearing3_2,Bearing3_3,1,0.006576103623956442,0.14548318088054657,0.11384321749210358,0.1896195262670517,0.7443790920043485,2487
standard,9,40Hz10kN,Bearing3_3,Bearing3_4,22,0.010407216846942902,0.16489708423614502,0.1299930363893509,0.23949861526489258,0.6591237254088085,362
standard,9,40Hz10kN,Bearing3_4,Bearing3_5,1,0.0059411958791315556,0.20338667929172516,0.16115523874759674,0.28279468417167664,0.4983182753069092,1506
standard,9,40Hz10kN,Bearing3_5,Bearing3_1,4,0.011998449452221394,0.14557388424873352,0.11351416260004044,0.07290264964103699,0.7054453640947143,105
hcrd_compact,9,35Hz12kN,Bearing1_1,Bearing1_2,32,0.012590327300131321,0.1845492571592331,0.1587042510509491,0.23934626579284668,0.5318886024881071,114
hcrd_compact,9,35Hz12kN,Bearing1_2,Bearing1_3,35,0.007830237038433552,0.27769729495048523,0.2215469479560852,0.08851779997348785,-0.025406684146401348,152
hcrd_compact,9,35Hz12kN,Bearing1_3,Bearing1_4,12,0.018024172633886337,0.10637790709733963,0.0834064707159996,0.11698465049266815,0.8492246254467333,149
hcrd_compact,9,35Hz12kN,Bearing1_4,Bearing1_5,4,0.008209199644625187,0.3427029550075531,0.296006977558136,0.47760680317878723,-0.6160872121124423,113
hcrd_compact,9,35Hz12kN,Bearing1_5,Bearing1_1,11,0.004969827830791473,0.1360931545495987,0.1171744242310524,0.14281953871250153,0.6871816899117411,43
hcrd_compact,9,37.5Hz11kN,Bearing2_1,Bearing2_2,5,0.009880506433546543,0.36667531728744507,0.2989552915096283,0.5443928241729736,-0.6674184370961704,482
hcrd_compact,9,37.5Hz11kN,Bearing2_2,Bearing2_3,22,0.006713087670505047,0.20893551409244537,0.17196503281593323,0.10367380827665329,0.4195331946434191,152
hcrd_compact,9,37.5Hz11kN,Bearing2_3,Bearing2_4,2,0.008919646963477135,0.22744062542915344,0.19676324725151062,0.08638422936201096,0.36014792664431927,524
hcrd_compact,9,37.5Hz11kN,Bearing2_4,Bearing2_5,15,0.00761094456538558,0.26996344327926636,0.24114930629730225,0.30465957522392273,-0.3512323231457286,33
hcrd_compact,9,37.5Hz11kN,Bearing2_5,Bearing2_1,2,0.014368693344295025,0.18676939606666565,0.15802288055419922,0.20265944302082062,0.5608608546115995,330
hcrd_compact,9,40Hz10kN,Bearing3_1,Bearing3_2,5,0.013028358109295368,0.3865128457546234,0.309123694896698,0.54195237159729,-0.8040659707847331,2529
hcrd_compact,9,40Hz10kN,Bearing3_2,Bearing3_3,8,0.00832216814160347,0.21364235877990723,0.17301912605762482,0.24048291146755219,0.44875388031142227,2487
hcrd_compact,9,40Hz10kN,Bearing3_3,Bearing3_4,1,0.020578399300575256,0.2745272219181061,0.22906264662742615,0.3432207405567169,0.055196109955477635,362
hcrd_compact,9,40Hz10kN,Bearing3_4,Bearing3_5,2,0.02009071782231331,0.40169084072113037,0.32920703291893005,0.5630421042442322,-0.9568932403416337,1506
hcrd_compact,9,40Hz10kN,Bearing3_5,Bearing3_1,1,0.017063144594430923,0.3979158103466034,0.34641778469085693,0.14358650147914886,-1.200803856744964,105
hybrid_compact,9,35Hz12kN,Bearing1_1,Bearing1_2,8,0.013629144988954067,0.21902011334896088,0.1909373700618744,0.29303234815597534,0.3406855919608279,114
hybrid_compact,9,35Hz12kN,Bearing1_2,Bearing1_3,19,0.00538879819214344,0.23638825118541718,0.19484269618988037,0.1043929010629654,0.256972955800432,152
hybrid_compact,9,35Hz12kN,Bearing1_3,Bearing1_4,1,0.021944409236311913,0.3470686972141266,0.2830415964126587,0.203618124127388,-0.6049385327056354,149
hybrid_compact,9,35Hz12kN,Bearing1_4,Bearing1_5,2,0.012089256197214127,0.3736801743507385,0.32630571722984314,0.44729042053222656,-0.9214504987507715,113
hybrid_compact,9,35Hz12kN,Bearing1_5,Bearing1_1,24,0.0059354268014431,0.20517708361148834,0.17261140048503876,0.13279008865356445,0.2889873758049263,43
hybrid_compact,9,37.5Hz11kN,Bearing2_1,Bearing2_2,3,0.011225469410419464,0.411089688539505,0.3387373685836792,0.6002597212791443,-1.0958219715491961,482
hybrid_compact,9,37.5Hz11kN,Bearing2_2,Bearing2_3,9,0.0059698703698813915,0.18838515877723694,0.1645989865064621,0.13017825782299042,0.5281041045340189,152
hybrid_compact,9,37.5Hz11kN,Bearing2_3,Bearing2_4,1,0.008047416806221008,0.2947186529636383,0.23804593086242676,0.12405813485383987,-0.07438213368579172,524
hybrid_compact,9,37.5Hz11kN,Bearing2_4,Bearing2_5,13,0.006027538329362869,0.20960330963134766,0.16572339832782745,0.12367847561836243,0.1854527251811421,33
hybrid_compact,9,37.5Hz11kN,Bearing2_5,Bearing2_1,1,0.01982169970870018,0.2716248035430908,0.21876294910907745,0.19569270312786102,0.0711842353612645,330
hybrid_compact,9,40Hz10kN,Bearing3_1,Bearing3_2,1,0.015284576453268528,0.40677008032798767,0.3164839744567871,0.6182487607002258,-0.9981247006318954,2529
hybrid_compact,9,40Hz10kN,Bearing3_2,Bearing3_3,5,0.011795775033533573,0.28499412536621094,0.2370922565460205,0.38650941848754883,0.019059643627486245,2487
hybrid_compact,9,40Hz10kN,Bearing3_3,Bearing3_4,41,0.014131356962025166,0.20793254673480988,0.1664075255393982,0.27846840023994446,0.45797937746922524,362
hybrid_compact,9,40Hz10kN,Bearing3_4,Bearing3_5,5,0.0050916047766804695,0.28686392307281494,0.2290736585855484,0.4229855537414551,0.001989414202918316,1506
hybrid_compact,9,40Hz10kN,Bearing3_5,Bearing3_1,1,0.019309813156723976,0.23598924279212952,0.18821276724338531,0.09950356185436249,0.22592445892740198,105
