representation,seed,condition,test_bearing,rmse,mae,late_rmse,test_windows
standard,9,35Hz12kN,Bearing1_1,0.18065778264426016,0.14517266021278868,0.27207414968119814,114
standard,9,35Hz12kN,Bearing1_2,0.28048593935159843,0.2263937094956566,0.11378526759430027,152
standard,9,35Hz12kN,Bearing1_3,0.10063076907856695,0.07560869043580697,0.13074103896351216,149
standard,9,35Hz12kN,Bearing1_4,0.25681829671246903,0.21704576128924755,0.3402634768787797,113
standard,9,35Hz12kN,Bearing1_5,0.14355323949024656,0.12683189888893132,0.16165974646794237,43
standard,9,37.5Hz11kN,Bearing2_1,0.29299470146493445,0.22470666974201806,0.45035810253267566,482
standard,9,37.5Hz11kN,Bearing2_2,0.15389226347601234,0.12631692108107048,0.11921132218423795,152
standard,9,37.5Hz11kN,Bearing2_3,0.11661958411692976,0.08963135679840713,0.16249482903942683,524
standard,9,37.5Hz11kN,Bearing2_4,0.3741404178069233,0.35008245243342695,0.4773552342868155,33
standard,9,37.5Hz11kN,Bearing2_5,0.1607683153978074,0.12324445769004726,0.19333204135788085,330
standard,9,40Hz10kN,Bearing3_1,0.14576059452246284,0.1275220946711851,0.18865100905870283,2529
standard,9,40Hz10kN,Bearing3_2,0.2082298693150809,0.1635619561401793,0.14949473168445757,2487
standard,9,40Hz10kN,Bearing3_3,0.12652750732546617,0.10711362746600192,0.14941831147442225,362
standard,9,40Hz10kN,Bearing3_4,0.15671524312728902,0.12157207210811405,0.21968206770554596,1506
standard,9,40Hz10kN,Bearing3_5,0.1685730503786687,0.13936140509959025,0.07866275562519819,105
hcrd_compact,9,35Hz12kN,Bearing1_1,0.14825658823412483,0.12004876615017979,0.20426641389523217,114
hcrd_compact,9,35Hz12kN,Bearing1_2,0.25102220988944246,0.21121685505804386,0.12693038446327165,152
hcrd_compact,9,35Hz12kN,Bearing1_3,0.10815453947811926,0.0819834685603917,0.13008534405692324,149
hcrd_compact,9,35Hz12kN,Bearing1_4,0.2842406117587099,0.24333145913648196,0.3915634300029577,113
hcrd_compact,9,35Hz12kN,Bearing1_5,0.20073564840761726,0.15861894602991555,0.308792316504802,43
hcrd_compact,9,37.5Hz11kN,Bearing2_1,0.39708102613275786,0.331102541700021,0.5880545142561605,482
hcrd_compact,9,37.5Hz11kN,Bearing2_2,0.246267391735679,0.20324204109619773,0.11022177447704593,152
hcrd_compact,9,37.5Hz11kN,Bearing2_3,0.12965537247298117,0.10241519125350403,0.10080648571532806,524
hcrd_compact,9,37.5Hz11kN,Bearing2_4,0.22190442041749905,0.20195933695348567,0.19233212643154235,33
hcrd_compact,9,37.5Hz11kN,Bearing2_5,0.2328693930518562,0.1902156459046819,0.29457411807596734,330
hcrd_compact,9,40Hz10kN,Bearing3_1,0.3541419140752476,0.28834387701204744,0.5334257334277107,2529
hcrd_compact,9,40Hz10kN,Bearing3_2,0.28691700557376837,0.23917391022593082,0.21249113244242812,2487
hcrd_compact,9,40Hz10kN,Bearing3_3,0.3012883982409751,0.2593011679517788,0.41975051227408594,362
hcrd_compact,9,40Hz10kN,Bearing3_4,0.39015746332386464,0.3258164674503793,0.544171666995944,1506
hcrd_compact,9,40Hz10kN,Bearing3_5,0.3834143579068911,0.34017724779031105,0.16212544515762012,105
hybrid_compact,9,35Hz12kN,Bearing1_1,0.1774178056356141,0.1429675264959864,0.26350336884748515,114
hybrid_compact,9,35Hz12kN,Bearing1_2,0.28493188118003837,0.22908141891429928,0.10862292849671697,152
hybrid_compact,9,35Hz12kN,Bearing1_3,0.08576763529587424,0.06410362861504747,0.11501558016657489,149
hybrid_compact,9,35Hz12kN,Bearing1_4,0.2632164008184182,0.22481105914596727,0.3500321845934179,113
hybrid_compact,9,35Hz12kN,Bearing1_5,0.16283260397088956,0.14555663422502388,0.18897129740097035,43
hybrid_compact,9,37.5Hz11kN,Bearing2_1,0.29171858820514746,0.2225037221289507,0.4489038831747063,482
hybrid_compact,9,37.5Hz11kN,Bearing2_2,0.1512874227248594,0.12439870705851477,0.12182861096900295,152
hybrid_compact,9,37.5Hz11kN,Bearing2_3,0.1147572228640308,0.08790197504046285,0.1612069171109627,524
hybrid_compact,9,37.5Hz11kN,Bearing2_4,0.3490315118691595,0.3273833692158266,0.4456386777877897,33
hybrid_compact,9,37.5Hz11kN,Bearing2_5,0.15951582076382176,0.11943136657755264,0.21233295026839863,330
hybrid_compact,9,40Hz10kN,Bearing3_1,0.14942947814175403,0.12983484136085569,0.19682536774279294,2529
hybrid_compact,9,40Hz10kN,Bearing3_2,0.21112663628007086,0.16557964435862824,0.15254917531680473,2487
hybrid_compact,9,40Hz10kN,Bearing3_3,0.12327404132508386,0.10357223910755582,0.15118224810071923,362
hybrid_compact,9,40Hz10kN,Bearing3_4,0.16501834165166135,0.12793926473002992,0.23698729422210088,1506
hybrid_compact,9,40Hz10kN,Bearing3_5,0.17977193215948536,0.15183311067184035,0.09293021425846634,105
