representation,seed,condition,test_bearing,rmse,mae,late_rmse,test_windows
standard,9,35Hz12kN,Bearing1_1,0.18065778264426016,0.14517266021278868,0.27207414968119814,114
standard,9,35Hz12kN,Bearing1_2,0.28048593935159843,0.2263937094956566,0.11378526759430027,152
standard,9,35Hz12kN,Bearing1_3,0.10063076907856695,0.07560869043580697,0.13074103896351216,149
standard,9,35Hz12kN,Bearing1_4,0.25681829671246903,0.21704576128924755,0.3402634768787797,113
standard,9,35Hz12kN,Bearing1_5,0.14355323949024656,0.12683189888893132,0.16165974646794237,43
standard,9,37.5Hz11kN,Bearing2_1,0.29299470146493445,0.22470666974201806,0.45035810253267566,482
standard,9,37.5Hz11kN,Bearing2_2,0.15389226347601234,0.12631692108107048,0.11921132218423795,152
standard,9,37.5Hz11kN,Bearing2_3,0.11661958411692976,0.08963135679840713,0.16249482903942683,524
standard,9,37.5Hz11kN,Bearing2_4,0.3741404178069233,0.35008245243342695,0.4773552342868155,33
standard,9,37.5Hz11kN,Bearing2_5,0.1607683153978074,0.12324445769004726,0.19333204135788085,330
standard,9,40Hz10kN,Bearing3_1,0.14576059452246284,0.1275220946711851,0.18865100905870283,2529
standard,9,40Hz10kN,Bearing3_2,0.2082298693150809,0.1635619561401793,0.14949473168445757,2487
standard,9,40Hz10kN,Bearing3_3,0.12652750732546617,0.10711362746600192,0.14941831147442225,362
standard,9,40Hz10kN,Bearing3_4,0.15671524312728902,0.12157207210811405,0.21968206770554596,1506
standard,9,40Hz10kN,Bearing3_5,0.1685730503786687,0.13936140509959025,0.07866275562519819,105
standard,17,35Hz12kN,Bearing1_1,0.1692399197796604,0.1349425971618131,0.2545615908944012,114
standard,17,35Hz12kN,Bearing1_2,0.2858184154227056,0.2302101219164964,0.11325438189397363,152
standard,17,35Hz12kN,Bearing1_3,0.09507283433910017,0.07254546714517691,0.1201991176870823,149
standard,17,35Hz12kN,Bearing1_4,0.25804761095380707,0.22140865225779588,0.3354810865739771,113
standard,17,35Hz12kN,Bearing1_5,0.15031730570545182,0.13194568986510857,0.17157099820303415,43
standard,17,37.5Hz11kN,Bearing2_1,0.29030333995950053,0.22199857990872374,0.44778349560844366,482
standard,17,37.5Hz11kN,Bearing2_2,0.1476772049197711,0.12173499436241644,0.10901026356932413,152
standard,17,37.5Hz11kN,Bearing2_3,0.11590494860788307,0.08921142833859608,0.16222649299725717,524
standard,17,37.5Hz11kN,Bearing2_4,0.3796211823137206,0.35815090754559054,0.4762839717569101,33
standard,17,37.5Hz11kN,Bearing2_5,0.1550990272174846,0.11926250318196951,0.1889799740068957,330
standard,17,40Hz10kN,Bearing3_1,0.1472372073978315,0.12764382614857306,0.19501104605779254,2529
standard,17,40Hz10kN,Bearing3_2,0.2183626365225419,0.17660288902113971,0.16450882253216736,2487
standard,17,40Hz10kN,Bearing3_3,0.13090098580653783,0.11028533229970315,0.15432768677597483,362
standard,17,40Hz10kN,Bearing3_4,0.157864941703878,0.12271184970871929,0.2206144155766071,1506
standard,17,40Hz10kN,Bearing3_5,0.1590897540809168,0.13318569199487207,0.07668382126137964,105
standard,29,35Hz12kN,Bearing1_1,0.18086989892053212,0.1456876862884329,0.2719214335105289,114
