condition,test_bearing,n_seeds,standard_rmse,hybrid_mass6_rmse,delta_rmse,standard_mae,hybrid_mass6_mae,delta_mae,standard_late_rmse,hybrid_mass6_late_rmse,delta_late_rmse
35Hz12kN,Bearing1_1,5,0.1764659389685465,0.1794190643985383,0.002953125429991793,0.14127948374259103,0.14486906689440016,0.003589583151809167,0.2642824894151193,0.2677274993883597,0.0034450099732403873
35Hz12kN,Bearing1_2,5,0.2846276020438717,0.2834606516660167,-0.001166950377855036,0.22980073066940063,0.228727549121201,-0.0010731815481996587,0.11513029508003618,0.1146537447576887,-0.0004765503223474604
35Hz12kN,Bearing1_3,5,0.09919505728805458,0.10198832829654132,0.0027932710084867416,0.07479032543085033,0.07681839232712384,0.002028066896273503,0.12828976622027116,0.13108832037208454,0.002798554151813398
35Hz12kN,Bearing1_4,5,0.2572831098666438,0.26360084241929654,0.006317732552652722,0.21958143695010865,0.22590105383220002,0.0063196168820913836,0.33507033917391327,0.3425345970997837,0.007464257925870433
35Hz12kN,Bearing1_5,5,0.1474093371082729,0.15487349897086525,0.007464161862592344,0.12884684749419426,0.13585730959371634,0.007010462099522069,0.16875638664350853,0.1784834796255847,0.009727092982076168
37.5Hz11kN,Bearing2_1,5,0.2905028333557575,0.2904403421623508,-6.249119340669961e-05,0.2221330070713973,0.22221494559689142,8.193852549409075e-05,0.44772208823528103,0.44742379974023283,-0.00029828849504827116
37.5Hz11kN,Bearing2_2,5,0.14738807528692127,0.1482772978708736,0.0008892225839523315,0.12153243000689154,0.12161191671908078,7.948671218926395e-05,0.11371287780369652,0.10065258491930267,-0.01306029288439384
37.5Hz11kN,Bearing2_3,5,0.11601040949784394,0.1144854691266834,-0.001524940371160541,0.0886675240452807,0.0883705270281657,-0.0002969970171150027,0.16219416545728396,0.15978521786455127,-0.002408947592732691
37.5Hz11kN,Bearing2_4,5,0.37343173830161397,0.37197832716349993,-0.0014534111381139692,0.3502212605655625,0.34932539976602606,-0.0008958607995364964,0.47386483274691465,0.472334250365458,-0.0015305823814566577
37.5Hz11kN,Bearing2_5,5,0.16116176807174867,0.1628754675015475,0.001713699429798804,0.12348508175974784,0.12349270760068551,7.625840937675043e-06,0.2006697242785457,0.2085939993637556,0.007924275085209903
40Hz10kN,Bearing3_1,5,0.14765352550205807,0.14853411252417553,0.0008805870221174572,0.12903713576379536,0.13016863571614873,0.001131499952353343,0.1922298206112556,0.19046563727621024,-0.0017641833350453384
40Hz10kN,Bearing3_2,5,0.2068217914127551,0.2081524692897231,0.0013306778769680283,0.15984183867357396,0.16220999874587072,0.0023681600722967435,0.1414169623097297,0.14648837476351032,0.00507141245378063
40Hz10kN,Bearing3_3,5,0.12658117934914234,0.12774152836159983,0.001160349012457465,0.1067192396364169,0.10764055309731764,0.0009213134609007384,0.1531617976872704,0.1564112824498038,0.0032494847625334335
40Hz10kN,Bearing3_4,5,0.15532892074320878,0.15672052327603378,0.0013916025328250092,0.12032795539530053,0.12175029338798256,0.0014223379926820185,0.21846546680286377,0.22033538061945954,0.0018699138165957363
40Hz10kN,Bearing3_5,5,0.17371176924485554,0.17775659029020072,0.004044821045345199,0.1435998683052398,0.1478445266147504,0.004244658309510591,0.08496478031246116,0.08747249056752729,0.00250771025506612
